institution,city,state,carnegie_basic,campus
North Florida Technical College,Starke,FL,-2,
Eastern Florida State College,Melbourne,FL,23,
Broward College,Fort Lauderdale,FL,14,
Albizu University-Miami,Miami,FL,17,
College of Central Florida,Ocala,FL,23,
Johnson University Florida,Kissimmee,FL,24,
University of Central Florida,Orlando,FL,15,
Charlotte Technical College,Port Charlotte,FL,-2,
Chipola College,Marianna,FL,23,
Lorenzo Walker Technical College,Naples,FL,-2,
Daytona State College,Daytona Beach,FL,23,
South University-West Palm Beach,Royal Palm Beach,FL,26,
Eckerd College,Saint Petersburg,FL,21,
Florida SouthWestern State College,Fort Myers,FL,23,
Edward Waters University,Jacksonville,FL,22,
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,18,
Florida Agricultural and Mechanical University,Tallahassee,FL,16,
Florida Atlantic University,Boca Raton,FL,16,
Florida State College at Jacksonville,Jacksonville,FL,23,
Flagler College,Saint Augustine,FL,22,
Florida College,Temple Terrace,FL,23,
Concorde Career Institute-Jacksonville,Jacksonville,FL,10,
Concorde Career Institute-Miramar,Miramar,FL,10,
Concorde Career Institute-Tampa,Tampa,FL,10,
AdventHealth University,Orlando,FL,26,
Florida Institute of Technology,Melbourne,FL,16,
Florida International University,Miami,FL,15,
The College of the Florida Keys,Key West,FL,14,
Florida Memorial University,Miami Gardens,FL,22,
Florida Career College-Miami,Miami,FL,11,
Florida School of Massage,Gainesville,FL,-2,
Florida Southern College,Lakeland,FL,19,
Florida State University,Tallahassee,FL,15,
University of Florida,Gainesville,FL,15,
Fort Pierce Beauty Academy,Fort Pierce,FL,-2,
Full Sail University,Winter Park,FL,18,
George Stone Technical College,Pensacola,FL,-2,
George T Baker Aviation Technical College,Miami,FL,-2,
Gulf Coast State College,Panama City,FL,14,
Key College,Fort Lauderdale,FL,31,
Hillsborough Community College,Tampa,FL,2,
Hobe Sound Bible College,Hobe Sound,FL,22,
Hollywood Institute of Beauty Careers,Hollywood,FL,-2,
Indian River State College,Fort Pierce,FL,23,
International Academy,South Daytona,FL,-2,
AI Miami International University of Art and Design,Miami,FL,22,
Jacksonville University,Jacksonville,FL,18,
Keiser University-Ft Lauderdale,Fort Lauderdale,FL,17,
La Belle Beauty School,Hialeah,FL,-2,
Florida Gateway College,Lake City,FL,23,
Lake Technical College,Eustis,FL,-2,
Lake-Sumter State College,Leesburg,FL,14,
Fort Myers Technical College,Fort Myers,FL,-2,
Lively Technical College,Tallahassee,FL,-2,
Lindsey Hopkins Technical College,Miami,FL,-2,
Loraines Academy & Spa,Saint Petersburg,FL,-2,
Luther Rice College & Seminary,Lithonia,GA,24,
State College of Florida-Manatee-Sarasota,Bradenton,FL,23,
Manatee Technical College,Bradenton,FL,-2,
Traviss Technical College,Lakeland,FL,-2,
Merryfield School of Pet Grooming,Oakland Park,FL,-2,
Trinity International University-Florida,Miami,FL,22,
Miami Lakes Educational Center and Technical College,Miami Lakes,FL,-2,
Miami Dade College,Miami,FL,14,
University of Miami,Coral Gables,FL,15,
Orange Technical College-Mid Florida Campus,Orlando,FL,-2,
Paul Mitchell the School-Jacksonville,Jacksonville,FL,-2,
North Florida College,Madison,FL,14,
University of North Florida,Jacksonville,FL,16,
Nova Southeastern University,Fort Lauderdale,FL,16,
Northwest Florida State College,Niceville,FL,23,
Orange Technical College,Orlando,FL,-2,
Palm Beach Atlantic University,West Palm Beach,FL,17,
Palm Beach State College,Lake Worth,FL,14,
Pasco-Hernando State College,New Port Richey,FL,23,
Pensacola State College,Pensacola,FL,23,
Pinellas Technical College-Clearwater,Clearwater,FL,-2,
Polk State College,Winter Haven,FL,23,
Radford M Locklin Technical College,Milton,FL,-2,
Saint Vincent de Paul Regional Seminary,Boynton Beach,FL,24,
Ridge Technical College,Winter Haven,FL,-2,
Ringling College of Art and Design,Sarasota,FL,30,
Robert Morgan Educational Center and Technical College,Miami,FL,-2,
Rollins College,Winter Park,FL,18,
First Coast Technical College,Saint Augustine,FL,-2,
Saint Leo University,Saint Leo,FL,17,
St Petersburg College,St. Petersburg,FL,23,
Pinellas Technical College-St. Petersburg,Saint Petersburg,FL,-2,
Santa Fe College,Gainesville,FL,14,
Suncoast Technical College,Sarasota,FL,-2,
Seminole State College of Florida,Sanford,FL,23,
Sheridan Technical College,Hollywood,FL,-2,
St. John Vianney College Seminary,Miami,FL,24,
Saint Johns River State College,Palatka,FL,23,
South Florida State College,Avon Park,FL,23,
University of South Florida,Tampa,FL,15,
St. Thomas University,Miami Gardens,FL,17,
Stetson University,DeLand,FL,18,
Southeastern University,Lakeland,FL,17,
Bene's Career Academy,New Port Richey,FL,-2,
Riveroak Technical College,Live Oak,FL,-2,
Tallahassee Community College,Tallahassee,FL,14,
Talmudic College of Florida,Miami Beach,FL,24,
Altierus Career College-Tampa,Tampa,FL,-2,
The University of Tampa,Tampa,FL,18,
Big Bend Technical College,Perry,FL,-2,
Tom P. Haney Technical College,Panama City,FL,-2,
Trinity Baptist College,Jacksonville,FL,22,
Trinity College of Florida,Trinity,FL,22,
Valencia College,Orlando,FL,14,
Warner University,Lake Wales,FL,20,
Florida Panhandle Technical College,Chipley,FL,-2,
Webber International University,Babson Park,FL,22,
Rasmussen University-Florida,Ocala,FL,22,
The University of West Florida,Pensacola,FL,18,
Orange Technical College-Westside Campus,Winter Garden,FL,-2,
William T McFatter Technical College,Davie,FL,-2,
Orange Technical College-East Campus,Winter Park,FL,-2,
Withlacoochee Technical College,Inverness,FL,-2,
Abraham Baldwin Agricultural College,Tifton,GA,23,
Agnes Scott College,Decatur,GA,21,
Interactive College of Technology-Chamblee,Chamblee,GA,8,
Interactive College of Technology-Morrow,Morrow,GA,13,
Albany Technical College,Albany,GA,8,
Albany State University,Albany,GA,19,
Andrew College,Cuthbert,GA,14,
The Art Institute of Atlanta,Atlanta,GA,22,
Georgia Career Institute,Conyers,GA,-2,
Atlanta Technical College,Atlanta,GA,8,
Point University,West Point,GA,22,
Atlanta Metropolitan State College,Atlanta,GA,23,
Atlanta's John Marshall Law School,Atlanta,GA,31,
Atlanta School of Massage,Atlanta,GA,-2,
Clark Atlanta University,Atlanta,GA,16,
Augusta Technical College,Augusta,GA,7,
Berry College,Mount Berry,GA,20,
Beulah Heights University,Atlanta,GA,21,
Brenau University,Gainesville,GA,17,
Brewton-Parker College,Mount Vernon,GA,22,
College of Coastal Georgia,Brunswick,GA,22,
West Georgia Technical College,Waco,GA,8,
Clayton  State University,Morrow,GA,19,
Columbia Theological Seminary,Decatur,GA,24,
Columbus Technical College,Columbus,GA,8,
Columbus State University,Columbus,GA,18,
Georgia Northwestern Technical College,Rome,GA,8,
Covenant College,Lookout Mountain,GA,21,
Dalton State College,Dalton,GA,22,
Pro Way Hair School,Stone Mountain,GA,-2,
South University-Savannah,Savannah,GA,18,
East Georgia State College,Swainsboro,GA,14,
Emmanuel College,Franklin Springs,GA,22,0
Emmanuel College,Boston,MA,21,1
Emory University,Atlanta,GA,15,
Georgia Highlands College,Rome,GA,23,
Fort Valley State University,Fort Valley,GA,20,
Grady Health System Professional Schools,Atlanta,GA,-2,
Georgia Institute of Technology-Main Campus,Atlanta,GA,15,
Georgia Southwestern State University,Americus,GA,19,
Georgia College & State University,Milledgeville,GA,18,
Georgia Southern University,Statesboro,GA,16,
Georgia State University,Atlanta,GA,15,
University of Georgia,Athens,GA,15,
Gordon State College,Barnesville,GA,23,
Southern Crescent Technical College,Griffin,GA,8,
Gupton Jones College of Funeral Service,Decatur,GA,12,
Gwinnett College-Lilburn,Lilburn,GA,9,
Gwinnett Technical College,Lawrenceville,GA,8,
Interdenominational Theological Center,Atlanta,GA,24,
LaGrange College,Lagrange,GA,22,
Lanier Technical College,Gainesville,GA,8,
Life University,Marietta,GA,18,
Chattahoochee Technical College,Marietta,GA,8,
Herzing University-Atlanta,Atlanta,GA,22,
Mercer University,Macon,GA,16,
Morehouse College,Atlanta,GA,21,
Morehouse School of Medicine,Atlanta,GA,25,
Morris Brown College,Atlanta,GA,-2,
North Georgia Technical College,Clarkesville,GA,8,
Oglethorpe University,Atlanta,GA,21,
Paine College,Augusta,GA,21,
Piedmont University,Demorest,GA,18,
Miami Ad School-Atlanta,Atlanta,GA,-2,
Reinhardt University,Waleska,GA,22,
Savannah Technical College,Savannah,GA,8,
Savannah College of Art and Design,Savannah,GA,18,
Savannah State University,Savannah,GA,20,
Shorter University,Rome,GA,20,
South Georgia Technical College,Americus,GA,8,
Spelman College,Atlanta,GA,21,
Thomas University,Thomasville,GA,19,
Toccoa Falls College,Toccoa Falls,GA,22,
Truett McConnell University,Cleveland,GA,22,
Wiregrass Georgia Technical College,Valdosta,GA,9,
Valdosta State University,Valdosta,GA,17,
Wesleyan College,Macon,GA,22,
University of West Georgia,Carrollton,GA,17,
Young Harris College,Young Harris,GA,21,
Chaminade University of Honolulu,Honolulu,HI,19,
University of Hawaii at Hilo,Hilo,HI,17,
University of Hawaii at Manoa,Honolulu,HI,15,
Hawaii Institute of Hair Design,Honolulu,HI,-2,
Hawaii Pacific University,Honolulu,HI,18,
Honolulu Community College,Honolulu,HI,8,
Kapiolani Community College,Honolulu,HI,6,
Kauai Community College,Lihue,HI,8,
Leeward Community College,Pearl City,HI,3,
University of Hawaii Maui College,Kahului,HI,14,
University of Hawaii-West Oahu,Kapolei,HI,22,
Windward Community College,Kaneohe,HI,3,
Carrington College-Boise,Boise,ID,10,
Boise Bible College,Boise,ID,24,
Boise State University,Boise,ID,16,
College of Eastern Idaho,Idaho Falls,ID,8,
Idaho State University,Pocatello,ID,16,
University of Idaho,Moscow,ID,16,
The College of Idaho,Caldwell,ID,22,
Lewis-Clark State College,Lewiston,ID,22,
Aveda Institute-Twin Falls,Twin Falls,ID,-2,
North Idaho College,Coeur d'Alene,ID,2,
Northwest Nazarene University,Nampa,ID,18,
Nathan Layne Institute of Cosmetology,Chubbuck,ID,-2,
Brigham Young University-Idaho,Rexburg,ID,22,
College of Southern Idaho,Twin Falls,ID,6,
Adler University,Chicago,IL,26,
American Academy of Art College,Chicago,IL,30,
American Islamic College,Chicago,IL,-2,
School of the Art Institute of Chicago,Chicago,IL,30,
Augustana College,Rock Island,IL,21,
Aurora University,Aurora,IL,17,
Southwestern Illinois College,Belleville,IL,6,
Bethany Theological Seminary,Richmond,IN,24,
Black Hawk College,Moline,IL,6,
Blackburn College,Carlinville,IL,22,
Blessing Rieman College of Nursing and Health Sciences,Quincy,IL,26,
Bradley University,Peoria,IL,17,
Paul Mitchell The School Tinley Park,Tinley Park,IL,-2,
Cameo Beauty Academy,Oak Lawn,IL,-2,
Cannella School of Hair Design-Villa Park,Villa Park,IL,-2,
Cannella School of Hair Design-Chicago,Chicago,IL,-2,0
Cannella School of Hair Design-Chicago,Chicago,IL,-2,1
Capri Beauty College,Oak Forest,IL,-2,0
Capri Beauty College,New Lenox,IL,-2,1
Carl Sandburg College,Galesburg,IL,2,
Catholic Theological Union at Chicago,Chicago,IL,24,
Midwestern University-Downers Grove,Downers Grove,IL,25,
The Chicago School of Professional Psychology at Chicago,Chicago,IL,26,
Chicago State University,Chicago,IL,18,
Chicago Theological Seminary,Chicago,IL,24,
University of Chicago,Chicago,IL,15,
City Colleges of Chicago-Kennedy-King College,Chicago,IL,6,
City Colleges of Chicago-Malcolm X College,Chicago,IL,5,
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,3,
City Colleges of Chicago-Harry S Truman College,Chicago,IL,3,
City Colleges of Chicago-Richard J Daley College,Chicago,IL,6,
City Colleges of Chicago-Harold Washington College,Chicago,IL,2,
City Colleges of Chicago-Wilbur Wright College,Chicago,IL,3,
Columbia College Chicago,Chicago,IL,19,
Concordia University-Chicago,River Forest,IL,18,
Danville Area Community College,Danville,IL,6,
Tricoci University of Beauty Culture,Urbana,IL,-2,
DePaul University,Chicago,IL,16,
Cosmetology & Spa Academy,Crystal Lake,IL,-2,
College of DuPage,Glen Ellyn,IL,9,
East-West University,Chicago,IL,21,
Eastern Illinois University,Charleston,IL,18,
Elgin Community College,Elgin,IL,2,
Elmhurst University,Elmhurst,IL,18,
Eureka College,Eureka,IL,22,
First Institute of Travel Inc.,Crystal Lake,IL,-2,
Fox College,Tinley Park,IL,8,
Garrett-Evangelical Theological Seminary,Evanston,IL,24,
Gem City College,Quincy,IL,-2,
Governors State University,University Park,IL,18,
Graham Hospital School of Nursing,Canton,IL,-2,
Greenville University,Greenville,IL,20,
G Skin & Beauty Institute,Schaumburg,IL,-2,0
G Skin & Beauty Institute,Oakbrook,IL,-2,1
Hair Professionals Career College,Sycamore,IL,-2,0
Hair Professionals Career College,Palos Hills,IL,-2,1
Hair Professionals School of Cosmetology,Oswego,IL,-2,
Hebrew Theological College,Skokie,IL,21,
Highland Community College,Freeport,IL,6,0
Highland Community College,Highland,KS,6,1
Rosalind Franklin University of Medicine and Science,North Chicago,IL,25,
University of Illinois Chicago,Chicago,IL,15,
Benedictine University,Lisle,IL,18,
Illinois College of Optometry,Chicago,IL,26,
University of Illinois Urbana-Champaign,Champaign,IL,15,
Illinois Wesleyan University,Bloomington,IL,22,
Illinois Central College,East Peoria,IL,3,
Illinois College,Jacksonville,IL,21,
Olney Central College,Olney,IL,8,
Illinois Institute of Technology,Chicago,IL,16,
Illinois State University,Normal,IL,16,
Illinois Valley Community College,Oglesby,IL,8,
Institute for Clinical Social Work,Chicago,IL,26,
John A Logan College,Carterville,IL,9,
John Wood Community College,Quincy,IL,4,
Joliet Junior College,Joliet,IL,5,
Judson University,Elgin,IL,20,
Kankakee Community College,Kankakee,IL,6,
Kaskaskia College,Centralia,IL,6,
Kishwaukee College,Malta,IL,5,
Knox College,Galesburg,IL,21,
Educators of Beauty College of Cosmetology-Peru,PERU,IL,-2,
College of Lake County,Grayslake,IL,3,
Lake Forest College,Lake Forest,IL,21,
Lake Forest Graduate School of Management,Lake Forest,IL,29,
Lake Land College,Mattoon,IL,9,
Lakeview College of Nursing,Danville,IL,26,
Lewis and Clark Community College,Godfrey,IL,6,
Lewis University,Romeoville,IL,18,
Lincoln Christian University,Lincoln,IL,20,
Lincoln Land Community College,Springfield,IL,6,
Lincoln College of Technology-Melrose Park,Melrose Park,IL,7,
Loyola University Chicago,Chicago,IL,16,
Lutheran School of Theology at Chicago,Chicago,IL,24,
Trinity College of Nursing & Health Sciences,Rock Island,IL,26,
Steven Papageorge Hair Academy,Chicago,IL,-2,
Generations College,Chicago,IL,4,
McCormick Theological Seminary,Chicago,IL,24,
McHenry County College,Crystal Lake,IL,3,
McKendree University,Lebanon,IL,19,
Meadville Theological School of Lombard College,Chicago,IL,24,
Methodist College,Peoria,IL,26,
Millikin University,Decatur,IL,22,
Monmouth College,Monmouth,IL,21,
Moody Bible Institute,Chicago,IL,24,
Moraine Valley Community College,Palos Hills,IL,6,
Morrison Institute of Technology,Morrison,IL,11,
Morton College,Cicero,IL,8,
National Louis University,Chicago,IL,17,
National University of Health Sciences,Lombard,IL,26,
Cosmetology Concepts Niles,Niles,IL,-2,
North Central College,Naperville,IL,20,
North Park University,Chicago,IL,18,
Northern Baptist Theological Seminary,Lisle,IL,24,
Northern Illinois University,Dekalb,IL,16,
Northwestern University,Evanston,IL,15,
Northeastern Illinois University,Chicago,IL,18,
Oakton Community College,Des Plaines,IL,3,
Oehrlein School of Cosmetology,East Peoria,IL,-2,
Olivet Nazarene University,Bourbonnais,IL,18,
Parkland College,Champaign,IL,6,
Prairie State College,Chicago Heights,IL,6,
Principia College,Elsah,IL,21,
Professional's Choice Hair Design Academy,Joliet,IL,-2,
Quincy University,Quincy,IL,22,
Rend Lake College,Ina,IL,6,
Richland Community College,Decatur,IL,9,
Rock Valley College,Rockford,IL,6,
Rockford University,Rockford,IL,20,
Roosevelt University,Chicago,IL,17,
Dominican University,River Forest,IL,18,
Rush University,Chicago,IL,25,
Saint Francis Medical Center College of Nursing,Peoria,IL,26,
University of St Francis,Joliet,IL,17,
St. John's College-Department of Nursing,Springfield,IL,26,
Saint Xavier University,Chicago,IL,18,
University of Illinois Springfield,Springfield,IL,18,
Sauk Valley Community College,Dixon,IL,6,
Shawnee Community College,Ullin,IL,6,
St. Augustine College,Chicago,IL,23,
University of Saint Mary of the Lake,Mundelein,IL,24,
Southeastern Illinois College,Harrisburg,IL,9,
National Latino Education Institute,Chicago,IL,-2,
Spertus College,Chicago,IL,24,
Spoon River College,Canton,IL,5,
Saint Anthony College of Nursing,Rockford,IL,26,
Educators of Beauty College of Cosmetology-Sterling,Sterling,IL,-2,
Southern Illinois University-Carbondale,Carbondale,IL,16,
Southern Illinois University-Edwardsville,Edwardsville,IL,17,
Taylor Business Institute,Chicago,IL,8,
Telshe Yeshiva-Chicago,Chicago,IL,-2,
South Suburban College,South Holland,IL,3,
